5.181065760,41,bass
7.497142857,41,bass
8.081269841,56,bass
8.477460317,49,bass
8.690793651,46,bass
9.272380952,53,bass
9.832199546,41,bass
10.378231293,56,bass
10.766439909,49,bass
10.973242630,46,bass
11.555555556,53,bass
12.114285714,41,bass
12.669229025,56,bass
13.071020408,49,bass
13.244081633,46,bass
13.818775510,53,bass
14.403265306,41,bass
14.984489796,56,bass
15.381111111,49,bass
15.562448980,46,bass
16.120816327,53,bass
16.688979592,41,bass
17.257142857,56,bass
17.684897959,49,bass
17.839455782,46,bass
18.415691610,53,bass
19.004081633,41,bass
19.543945578,56,bass
19.966258503,49,bass
20.118639456,46,bass
20.728163265,53,bass
21.287619048,41,bass
21.877551020,56,bass
22.262857143,49,bass
22.467482993,46,bass
23.029115646,53,bass
23.562448980,41,bass
24.124081633,56,bass
24.524625850,49,bass
24.716190476,46,bass
25.288707483,53,bass
25.835102041,41,bass
26.411972789,56,bass
26.797278912,49,bass
27.012789116,46,bass
27.617959184,53,bass
28.151292517,41,bass
28.749931973,56,bass
29.124353741,49,bass
29.313741497,46,bass
29.881904762,53,bass
30.443537415,41,bass
30.983401361,56,bass
31.399183673,49,bass
31.592925170,46,bass
32.171972789,53,bass
32.755374150,41,bass
33.362721088,56,bass
33.743673469,49,bass
33.917823129,46,bass
34.520816327,53,bass
35.117278912,56,bass
36.083809524,56,bass
